week,state,update_dts,percent_positive,total_pcr_tests,antigen_detections,pcr_detections,epi_week,epi_year
2020-11-28,IA,2022-10-25,0,537,0.2,0,48,2020
2020-11-28,ID,2022-10-25,0,85.333,0.2,0,48,2020
2020-11-28,IL,2022-10-25,0,42.333,0,0,48,2020
2020-11-28,IN,2022-10-25,0,456.333,0,0.2,48,2020
2020-11-28,KS,2022-10-25,0,70.333,0,0,48,2020
2020-11-28,KY,2022-10-25,0,359,0,0,48,2020
2020-11-28,LA,2022-10-25,0,100.333,0.4,0,48,2020
2020-11-28,MA,2022-10-25,0.154,672,0,0.8,48,2020
2020-11-28,MD,2022-10-25,0,257.667,0,0,48,2020
2020-11-28,ME,2022-10-25,0,0,0,0,48,2020
2020-11-28,MI,2022-10-25,0,858,0.2,0.4,48,2020
2020-11-28,MN,2022-10-25,0,351.667,0,0.4,48,2020
2020-11-28,MO,2022-10-25,0,504.333,0,0,48,2020
2020-11-28,MS,2022-10-25,0,0,0,0,48,2020
2020-11-28,MT,2022-10-25,0,104.667,0,0,48,2020
2020-11-28,NC,2022-10-25,0,100.667,0,0,48,2020
2020-11-28,ND,2022-10-25,0,0.333,0,0,48,2020
2020-11-28,NE,2022-10-25,0,221.667,0,0.2,48,2020
2020-11-28,NH,2022-10-25,0,0,0,0,48,2020
2020-11-28,NJ,2022-10-25,0.097,719.333,0,0.6,48,2020
2020-11-28,NM,2022-10-25,0,295.333,0,0,48,2020
2020-11-28,NV,2022-10-25,0,466,0,0,48,2020
2020-11-28,NY,2022-10-25,0.012,2489.333,0,0.2,48,2020
2020-11-28,OH,2022-10-25,0.074,1858,0.2,1,48,2020
2020-11-28,OK,2022-10-25,0,841.333,0,0,48,2020
2020-11-28,OR,2022-10-25,0.029,2039.667,0.2,1,48,2020
2020-11-28,PA,2022-10-25,0.065,459.333,0,1,48,2020
2020-11-28,RI,2022-10-25,0,0,0,0,48,2020
2020-11-28,SC,2022-10-25,0,79.333,1.4,0,48,2020
2020-11-28,SD,2022-10-25,0,44.333,0,0,48,2020
2020-11-28,TN,2022-10-25,0,13.667,0,0,48,2020
2020-11-28,TX,2022-10-25,0.302,1420,1.4,3.8,48,2020
2020-11-28,UT,2022-10-25,0,0,0,0,48,2020
2020-11-28,VA,2022-10-25,0,162.667,0,0,48,2020
2020-11-28,VT,2022-10-25,0,28.667,0,0,48,2020
2020-11-28,WA,2022-10-25,0,664,0.2,0,48,2020
2020-11-28,WI,2022-10-25,0.032,1049.667,0.6,0.4,48,2020
2020-11-28,WV,2022-10-25,0.269,120,0,0.6,48,2020
2020-11-28,WY,2022-10-25,0,0,0,0,48,2020
2020-12-05,AL,2022-10-25,0,87.333,0.4,0,49,2020
2020-12-05,AR,2022-10-25,0,88.667,0,0,49,2020
2020-12-05,AZ,2022-10-25,0,162.333,0,0,49,2020
2020-12-05,CA,2022-10-25,0,1421.333,0.2,0,49,2020
2020-12-05,CO,2022-10-25,0.05,2010.667,0,0.6,49,2020
2020-12-05,CT,2022-10-25,0,238,0,0,49,2020
2020-12-05,DE,2022-10-25,0,0,0,0,49,2020
2020-12-05,GA,2022-10-25,1.541,715.333,0.2,9.2,49,2020
2020-12-05,HI,2022-10-25,0,26.333,0,0,49,2020
2020-12-05,IA,2022-10-25,0,491,0.2,0,49,2020
2020-12-05,ID,2022-10-25,0,94,0.2,0,49,2020
2020-12-05,IL,2022-10-25,0,39.667,0,0,49,2020
2020-12-05,IN,2022-10-25,0,447.333,0,0,49,2020
2020-12-05,KS,2022-10-25,0,117,0,0,49,2020
2020-12-05,KY,2022-10-25,0,482.667,0,0,49,2020
2020-12-05,LA,2022-10-25,0,101.667,0.2,0,49,2020
2020-12-05,MA,2022-10-25,0.135,729.667,0,1.2,49,2020
2020-12-05,MD,2022-10-25,0,297.333,0,0,49,2020
2020-12-05,ME,2022-10-25,0,0,0,0,49,2020
2020-12-05,MI,2022-10-25,0.029,1060.667,0.2,0.2,49,2020
2020-12-05,MN,2022-10-25,0.201,350,0,0.6,49,2020
2020-12-05,MO,2022-10-25,0,618.333,0,0,49,2020
2020-12-05,MS,2022-10-25,0,0,0,0,49,2020
2020-12-05,MT,2022-10-25,0,98,0,0,49,2020
2020-12-05,NC,2022-10-25,0,103.333,0,0,49,2020
2020-12-05,ND,2022-10-25,0,1,0,0,49,2020
2020-12-05,NE,2022-10-25,0,213.333,0,0.4,49,2020
2020-12-05,NH,2022-10-25,0,0,0,0,49,2020
2020-12-05,NJ,2022-10-25,0.097,830.333,0,0.8,49,2020
2020-12-05,NM,2022-10-25,0,246,0,0,49,2020
2020-12-05,NV,2022-10-25,0,224.333,0,0,49,2020
2020-12-05,NY,2022-10-25,0.012,2598.667,0,0.8,49,2020
2020-12-05,OH,2022-10-25,0.077,1769,0,1.2,49,2020
2020-12-05,OK,2022-10-25,0,684.667,0,0,49,2020
